loyalty_number,churned,churn_prob,risk_bucket,cluster_label,rfm_segment,clv,behavioral_clv,priority_score,priority_rank,nudge_type,mechanism,channel,timing,subject_line,message_frame,be_principle,success_kpi,expected_lift,priority_tier
104673,0,0.0133813685,Low (<25%),Moderate Risk,Champions,14723.41,14526.390625213417,194.3829859309261,3513.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
104732,0,0.05063983,Low (<25%),Moderate Risk,Recent Low-Freq,8382.48,7957.9926378216,402.9913943205374,1769.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
104849,0,0.02659111,Low (<25%),Moderate Risk,Hibernating,2816.76,2384.225413040348,63.39920022295133,7262.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
104960,0,0.0051096915,Low (<25%),Moderate Risk,Lost,2551.23,1750.4786218996244,8.944405735252225,12129.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
105063,0,0.0011558413,Low (<25%),Loyal Champions,Recent Low-Freq,7251.33,7242.948613306071,8.371699141036887,12230.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
105073,0,0.0031406826,Low (<25%),Loyal Champions,Recent Low-Freq,7562.82,7539.067582819068,23.677818377583904,10237.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
105074,0,0.031125411,Low (<25%),Moderate Risk,Needs Attention,2799.75,2358.788374393696,73.41825761502565,6754.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
105214,0,0.011125621,Low (<25%),Moderate Risk,Champions,5897.99,5832.37119859821,64.88875148691942,7173.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
105335,0,0.040786732,Low (<25%),Moderate Risk,Hibernating,11611.95,7681.611384381104,313.3078248629011,2278.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
105552,0,0.009512093,Low (<25%),Moderate Risk,Recent Low-Freq,8256.3,8177.765306564099,77.78766412821122,6536.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
105688,0,0.007483091,Low (<25%),Moderate Risk,Loyal,5507.06,5465.85016887754,40.901454206076,8631.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
105712,0,0.0024422423,Low (<25%),Moderate Risk,Champions,8311.14,8290.842182330778,20.248245480312537,10627.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
105789,0,0.14470491,Low (<25%),Moderate Risk,Lost,2943.05,1438.3864083568571,208.14157576650223,3305.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
105835,0,0.00081571104,Low (<25%),Loyal Champions,Recent Low-Freq,4756.13,4752.250372251325,3.876463093489515,12953.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
105841,0,0.0006615067,Low (<25%),Loyal Champions,Recent Low-Freq,17420.57,17409.04617622718,11.51620068618366,11744.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
105921,0,0.00088806124,Low (<25%),Moderate Risk,Loyal,5041.45,5036.972883661602,4.473140384910899,12845.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
105932,0,0.05176083,Low (<25%),Moderate Risk,Lost,3671.82,2678.2796532226153,138.62997782291475,4569.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
105992,0,0.035623822,Low (<25%),Moderate Risk,Needs Attention,5905.97,4952.675457376227,176.4332289173393,3804.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
106001,0,0.0014758433,Low (<25%),Moderate Risk,Needs Attention,4914.04,4266.771866947886,6.2970866724635295,12559.0,Points Redemption Nudge,Endowment effect — make unredeemed points feel owned,Email,60 days before points expiry or quarterly,"Your 82,203 points are waiting for you","You have 82,203 points — here are 3 ways to use them before they expire. Members who redeem at least once per year are 2x more likely to stay active long-term.","Endowment + loss aversion: the points feel already owned, spending them feels safe rather than wasteful",Points redemption event within 30 days,40% redemption rate vs 12% with no nudge,TIER 3 — automated trigger on expiry window
106037,0,0.010104695,Low (<25%),Moderate Risk,Champions,11281.52,11167.5236812636,112.84442070444592,5248.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106038,0,0.0021445611,Low (<25%),Moderate Risk,Champions,7380.09,7364.262946071501,15.79311184431634,11163.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106046,0,0.00013483904,Low (<25%),Loyal Champions,Recent Low-Freq,2658.22,2657.861568167091,0.3583835023045451,13462.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
106218,0,0.010237493,Low (<25%),Moderate Risk,Champions,16473.17,16304.526037437188,166.91747117658096,3967.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106397,0,0.02707577,Low (<25%),Moderate Risk,Recent Low-Freq,7902.68,7688.7088539364,208.17771252614557,3303.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106444,0,0.04452638,Low (<25%),Moderate Risk,Lost,8447.8,5566.655204852414,247.8630049802364,2842.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
106477,0,0.024871113,Low (<25%),Moderate Risk,Recent Low-Freq,2487.26,2425.39907547962,60.32237447634916,7419.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106592,0,0.0033145957,Low (<25%),Moderate Risk,Champions,11727.78,11688.907150841454,38.744001379878334,8798.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106637,0,0.008429398,Low (<25%),Moderate Risk,Recent Low-Freq,7455.36,7392.51580332672,62.31445792753064,7324.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106689,0,0.4859505,Medium (25-50%),Moderate Risk,Lost,2795.41,1105.368548303846,537.1543987325281,1288.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
106754,0,0.005132667,Low (<25%),Moderate Risk,Hibernating,31864.86,24385.621757398752,125.16327606868258,4881.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
106757,0,0.017158903,Low (<25%),Moderate Risk,Hibernating,21423.64,18309.59464289833,314.17255844681205,2270.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
106776,0,0.0034165257,Low (<25%),Moderate Risk,Champions,19357.8,19291.66357880454,65.91046441273969,7129.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106838,0,0.024272919,Low (<25%),Moderate Risk,Hibernating,7524.74,5647.763534987646,137.0877068159088,4609.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
106839,0,0.019591998,Low (<25%),Moderate Risk,Champions,6511.47,6383.89729278294,125.07330299240876,4886.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106936,0,0.00068520755,Low (<25%),Moderate Risk,Champions,57520.5,57481.086519120225,39.3864744651044,8751.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106946,0,0.0029603394,Low (<25%),Moderate Risk,Champions,7796.0,7772.9211940376,23.01048486380455,10298.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106978,0,0.0060961205,Low (<25%),Moderate Risk,Loyal,3455.23,3434.166501564785,20.935092810602367,10533.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
106979,0,0.0010793061,Low (<25%),Moderate Risk,Champions,14083.97,14068.769085266784,15.18450829321986,11229.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107037,0,0.0014329487,Low (<25%),Moderate Risk,Recent Low-Freq,17732.46,17707.0502944952,25.373294700331513,10060.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107067,0,0.005411623,Low (<25%),Moderate Risk,Loyal,5137.35,5109.54859858095,27.650950715698436,9821.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107119,0,0.01112506,Low (<25%),Moderate Risk,Champions,17684.65,17487.907207671,194.55401695977235,3508.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107141,0,0.0029941536,Low (<25%),Moderate Risk,Hibernating,7292.91,6322.67296284263,18.93105401331793,10778.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
107203,0,0.0031245232,Low (<25%),Moderate Risk,Loyal,3044.79,3035.276483005872,9.483791789566252,12047.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107212,0,0.016556492,Low (<25%),Moderate Risk,Champions,6842.58,6729.29087897064,111.41345060335036,5289.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107296,0,0.051169958,Low (<25%),Moderate Risk,Recent Low-Freq,21892.94,20772.67917970348,1062.9371211729017,454.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107385,0,0.018163554,Low (<25%),Moderate Risk,Recent Low-Freq,7155.47,7025.50123425962,127.60807104554124,4813.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107420,0,0.050007265,Low (<25%),Moderate Risk,Recent Low-Freq,15771.39,14982.70592085165,749.2441454010975,819.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107461,0,0.14220499,Low (<25%),Moderate Risk,Lost,2519.92,1350.9842509995,192.1167019035414,3542.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
107466,0,0.013678499,Low (<25%),Moderate Risk,Lost,4285.58,2915.1446194866076,39.874802762502945,8709.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
107487,0,0.29367974,Medium (25-50%),Moderate Risk,Hibernating,7805.31,4793.955294417914,1407.8875444362766,270.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
107519,0,0.0064202286,Low (<25%),Loyal Champions,Hibernating,5470.06,4726.035621168943,30.342229059647615,9549.0,Social Proof + Tier Preview,Social proof + anticipated reward,App notification + monthly email digest,"Monthly, timed to post-flight (within 48h of landing)",You flew more than 91% of members this month,"You are in the top 10% of active members this quarter. At your current pace, you will reach the next tier in 7 months. Here is what unlocks when you get there.",Social proof reinforces behaviour; tier preview creates anticipatory reward,Maintained flight frequency + tier upgrade within 6 months,15-20% increase in booking rate post-notification,TIER 3 — automated monthly
107571,0,0.4342635,Medium (25-50%),Moderate Risk,Hibernating,7486.09,2420.0882030199996,1050.9559733521758,466.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107649,0,0.016627839,Low (<25%),Moderate Risk,At-Risk High-Value,5879.18,4447.24764731383,73.94811787266315,6729.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
107719,0,0.0066792495,Low (<25%),Moderate Risk,Recent Low-Freq,2345.08,2329.41662558254,15.558754831713866,11186.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107730,0,0.016169628,Low (<25%),Moderate Risk,Recent Low-Freq,26511.6,26082.9172903152,421.75106973916473,1694.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
107902,0,0.114791624,Low (<25%),Moderate Risk,Lost,4369.5,2975.32153764,341.5419912278727,2081.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
107993,0,0.0061925175,Low (<25%),Moderate Risk,Recent Low-Freq,23740.12,23593.108891447897,146.10073968969672,4405.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
108264,0,0.007257241,Low (<25%),Moderate Risk,Loyal,2515.41,2497.15506341619,18.122456109581577,10877.0,Points Redemption Nudge,Endowment effect — make unredeemed points feel owned,Email,60 days before points expiry or quarterly,"Your 83,956 points are waiting for you","You have 83,956 points — here are 3 ways to use them before they expire. Members who redeem at least once per year are 2x more likely to stay active long-term.","Endowment + loss aversion: the points feel already owned, spending them feels safe rather than wasteful",Points redemption event within 30 days,40% redemption rate vs 12% with no nudge,TIER 3 — automated trigger on expiry window
108346,0,0.31689247,Medium (25-50%),Moderate Risk,Hibernating,4854.75,2883.753288058696,913.8397023235416,592.0,General Engagement Email,Awareness,Email,Monthly newsletter,What is new with your membership,Standard newsletter with personalised points balance and route suggestions.,Baseline engagement maintenance,Email open rate,Baseline — no specific lift expected,TIER 4 — low priority
108367,1,0.97295266,Critical (>75%),Moderate Risk,Lost,3528.04,54.528055664914234,53.05321680380637,7833.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
108381,0,0.010720603,Low (<25%),Moderate Risk,Loyal,3289.13,3253.86854305461,34.883432864276884,9110.0,Seasonal Travel Prompt,Peak-end rule — make the next interaction a positive peak,Email,"Pre-peak season (November for winter, April for summer)",Your next trip is closer than you think,"Based on when you have flown before, this is typically your travel season. We have matched routes to your history — here are 3 options with your points applied.","Peak-end rule: a positive, personalised message becomes the last emotional memory before a new booking cycle",Email open + flight search within 7 days,20-30% open rate; 6-10% conversion to search,TIER 3 — automated seasonal
